#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
63,"The Legend Begins","Marc Streitenfeld",64,67,"german soundtrack, orchestral soundtrack, soundtrack","Easy listening, Classical","Robin Hood (Original Motion Picture Soundtrack)",2010-05-11,01:27,24,23,97,97,3,0,20,-18,F Major,3,2024-01-15,2qomKwhtqtbQWk7dwAmFXg,"Back Lot Music",7B,https://p.scdn.co/mp3-preview/ad6e697f3ac73b3c535a536d6c698a72eeeb8491?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517210f2cbed2cda7c394f38e1
64,"Christ lag in Todesbanden, BWV 4: I. Sinfonia","Johann Sebastian Bach,Gewandhausorchester,New Bach Collegium Musicum Leipzig,Hans-Joachim Rotzsch,Ludwig Güttler,Gerhard Essbach,Karl Semsch,Rolf Bachmann,Walter Heinz Bernstein,Burkhard Schmidt,Achim Beyer,Gerd Schulze",46,87,"baroque, classical, early music, german baroque, classical performance, german orchestra, orchestra, chamber orchestra, classical trumpet, historically informed performance, ","Classical","Bach: Easter Cantatas BWV 4, 31, 66, 134",1977-00-00,01:09,19,13,95,93,4,0,10,-22,E Minor,4,2024-01-15,3OszOqDGbmhGIJar7CCw0B,"Berlin Classics",9A,https://p.scdn.co/mp3-preview/d848b0e08385e56dab31ab2698f877fdbbee107d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ce237238727bcd5520af579d
65,"I Never Loved Myself Like I Loved You","Dead Poet Society",50,112,"boston indie, modern alternative rock","Rock","-!- (Deluxe)",2021-12-03,04:21,53,97,0,9,16,0,30,-6,A Minor,4,2024-01-15,0wHkXSQBKPm0UxvdMffcJh,"Spinefarm",8A,https://p.scdn.co/mp3-preview/0027e384a983b810e7ff6197485c315ef2ab9199?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c38f0d9cbb43f048d8a6cc60
66,"Absinthe","I DONT KNOW HOW BUT THEY FOUND ME",62,124,"alt z, pov: indie","Pop","1981 Extended Play",2018-11-09,03:03,61,85,1,0,52,0,30,-5,A Minor,3,2024-01-15,4hs2FbesB8qo6H5Berbikd,"Fearless Records",8A,,https://i.scdn.co/image/ab67616d00004851d6dfb454b77efaccc1371d14
67,"Black Friday","Tom Odell",84,165,"chill pop","Pop","Black Friday",2023-09-22,03:41,48,20,93,6,20,0,10,-12,F#/G♭ Major,4,2024-01-15,1XTY6rA7XQosc0ynkkE9kN,"UROK",2B,https://p.scdn.co/mp3-preview/2bd69b841f7c185811677924a36b89aa646c110b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851530fa3c87225dc153c064691
68,"Hold On","Chord Overstreet",82,120,"acoustic pop","Pop","Hold On",2017-02-03,03:18,62,44,47,0,17,0,0,-10,D Major,4,2024-01-15,5vjLSffimiIP26QG5WcN2K,"Safehouse Records / Island Records",10B,,https://i.scdn.co/image/ab67616d00004851c60473419a4ce96822541181
69,"You Said You'd Grow Old With Me","Michael Schulte",63,114,"german pop, talentschau","Pop","Wide Awake",2012-09-28,03:44,53,35,91,0,29,0,0,-7,C Major,4,2024-01-15,41WTP0gosjYD74B06uS2tL,"VERY US RECORDS",8B,https://p.scdn.co/mp3-preview/b5fa9812cae8796757115b39dc7d4282ae96a088?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b7befcc34f9c31f352ab4e6f
70,"Someone","Michael Schulte",42,120,"german pop, talentschau","Pop","Highs & Lows",2019-10-25,03:37,67,53,69,0,31,0,10,-4,A#/B♭ Major,4,2024-01-15,5BvgXGcLKnMGtf3irvFA8b,"VERY US RECORDS",6B,https://p.scdn.co/mp3-preview/b07b53d5048c7c316c5f9d5289035830013874f1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c1bb4ecd373ce4ee6590c0f
71,"With Me","Sum 41",64,175,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock","Metal, Pop, Rock","Underclass Hero",2007-01-01,04:51,17,85,1,0,11,0,10,-4,E Major,3,2024-01-15,1OTvWduKQV0MQd2gnGM9He,"Island Records",12B,,https://i.scdn.co/image/ab67616d000048511c5301bdbae7e2b35fe8024f
72,"Redeemer","Palaye Royale",45,84,"modern alternative rock, vegas indie","Rock","The Bastards",2020-05-29,03:20,25,34,68,0,11,0,10,-10,D Minor,5,2024-01-15,5mFxUDOREk4UCPQqUAPbfy,"Sumerian Records",7A,,https://i.scdn.co/image/ab67616d0000485169ec580ab2b0047ca579c766
