#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
48,"The Longing","Tamino",46,87,"belgian indie","Rock","Sahar",2022-09-23,04:42,32,25,90,15,19,0,10,-15,A Minor,4,2024-01-15,5drJ67K7xEpv3Hsyr2keyK,"Communion Music",8A,,https://i.scdn.co/image/ab67616d00004851cc9d2f3df5933632b60c576e
49,"My Dearest Friend And Enemy","Tamino",44,80,"belgian indie","Rock","Sahar",2022-09-23,04:32,48,18,79,0,7,0,10,-9,B Major,4,2024-01-15,0vFdt1wVO1tLROMapHbGK2,"Communion Music",1B,,https://i.scdn.co/image/ab67616d00004851cc9d2f3df5933632b60c576e
50,"Thnks Fr Th Mmrs","Cover Lover",23,155,"","","Driving Rock Hits",2015-07-08,03:30,57,79,22,0,57,10,10,-5,A#/B♭ Minor,4,2024-01-15,0Fw7gVwGQnpnqr0PXF8u1q,"Cover Lover Records",3A,https://p.scdn.co/mp3-preview/7552bbc74211279e9f5430ad6fdad4653f264546?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c3e9664a680d5cee63e0d057
51,"In The End","Black Veil Brides",72,140,"alternative metal, pop emo, pop punk","Metal, Rock","Wretched and Divine: The Story Of The Wild Ones",2012-01-01,03:48,44,94,0,1,27,0,0,-4,G#/A♭ Major,4,2024-01-15,1RTYixE1DD3g3upEpmCJpa,"Lava Music/Republic Records",4B,,https://i.scdn.co/image/ab67616d000048519ccc759e39a5e5fc86101972
52,"Don't Speak","coldrain",32,76,"j-metal, j-rock, japanese post-hardcore, metalcore","Metal, Rock, Pop","Nonnegative",2022-07-06,03:50,44,92,0,0,32,0,0,-4,F Minor,4,2024-01-15,1UnMCht0LudEj3HOYGcJlC,"WM Japan",4A,https://p.scdn.co/mp3-preview/1fa3c49697bcc0f0755319a48a4847e24feb510c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514fc2b816166db68ba62424ca
53,"La Lexon Particuliere","Francis Albert Lai",35,96,"","","Once Upon A Time Coffee No. 2",1995-09-27,02:52,21,54,5,94,50,0,20,-10,G Minor,3,2024-01-15,0qcuLws5FqjFEIeujWLMtO,"동아엔터테인먼트",6A,https://p.scdn.co/mp3-preview/07dd2c3bcf49b586b20ddb26d642042d524b3fbf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bc81ac93c5bf54616c67e394
54,"Sense","Tom Odell",45,147,"chill pop","Pop","Long Way Down (Deluxe)",2013-06-24,04:24,41,8,96,0,16,0,0,-16,G#/A♭ Major,4,2024-01-15,1sLfxh1LO3DmbvzFfxhhk9,"ITNO/Columbia",4B,https://p.scdn.co/mp3-preview/b7394a5f03016da0827734815f3efe549effae3b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511917a0f3f4152622a040913f
55,"Nocturnes, Op. 48: No. 1 in C Minor","Frédéric Chopin,Arthur Rubinstein",46,98,"classical, early romantic era, polish classical, classical piano, polish classical piano","Classical","Chopin: Nocturnes - Sony Classical Originals",1965-00-00,05:51,36,8,99,87,4,0,0,-18,C Major,3,2024-01-15,1vU8oht1BqabFD6A3cqS6M,"RCA Red Seal",8B,https://p.scdn.co/mp3-preview/cbb6e8e851925c8bb9bd4ca229b5cdc584625190?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b071f86f2b752f9cf2532a98
56,"Latch - Today FM Live version","Kodaline",38,173,"irish pop, modern rock","Pop, Rock","In A Perfect World (Collection)",2013-06-17,03:41,27,64,14,0,56,0,10,-9,B Major,3,2024-01-15,0E3BaZey2EhaZU0lkD7U7V,"B-Unique/RCA",1B,https://p.scdn.co/mp3-preview/af06a36edc0b2db192a1c9dabee658ce5560f497?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485164eb43b64ff6991d51ba50b4
57,"Danser encore","Calogero",47,120,"chanson, french pop","Easy listening, Pop","Pomme C",2007-00-00,03:08,53,34,31,0,36,0,10,-11,G Minor,3,2024-01-15,18yBs7GJqGVlLpmJEdRkim,"Universal Music Division Barclay",6A,,https://i.scdn.co/image/ab67616d00004851c4902f060dcae8587d25244f
58,"Want To Be Free","Sea Power",41,93,"brighton indie, britpop","Rock, Pop","Let The Dancers Inherit The Party",2017-03-31,03:47,40,55,17,94,19,0,10,-10,G#/A♭ Major,3,2024-01-15,5qNQXBSCCfMMUR4pLLN7uU,"Virgin Music UK",4B,,https://i.scdn.co/image/ab67616d0000485156240d074592ecb1b9077fc0
59,"Find Our Way Home","Message To Bears",0,90,"compositional ambient, folktronica","Classical, Folk/Acoustic","Departures",2009-07-06,05:51,10,21,92,94,12,0,0,-18,C♯/D♭ Minor,4,2024-01-15,5atg8UWzbW1o5ANKV6QmNL,"Dead Pilot Records",12A,,https://i.scdn.co/image/ab67616d00004851bafb4f62e4d4bb02759d1f9d
60,"How I'm Feeling Now","Lewis Capaldi",3,103,"pop, uk pop","Pop","How I'm Feeling Now",2023-03-17,03:46,68,44,36,0,42,0,10,-4,C Major,4,2024-01-15,5CcfIvFHULvnM0ST4nzRRN,"Vertigo Berlin",8B,,https://i.scdn.co/image/ab67616d000048518f6c43260dcaf0f4ba4e1f5c
61,"I Miss My Man","Princess Chelsea",43,92,"auckland indie, baroque pop, nz pop","Rock, Pop","The Loneliest Girl",2018-09-07,04:52,52,62,32,28,62,0,10,-6,A Minor,4,2024-01-15,6bhpQAmRbGrTmE7ujhCLzD,"Lil' Chief Records",8A,https://p.scdn.co/mp3-preview/4cba807ba2657712fc296d339fceb0cb48f2a778?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519fd1af8b668cc9e6d9e64499
62,"Quit Cat - Acústico","UCLÃ,Duzz,kamaitachi",55,98,"trap brasileiro, brazilian hip hop, musica triste brasileira","Hip Hop, Latin","Acústico Duzz",2019-05-30,02:50,83,70,48,0,66,0,30,-5,G Minor,4,2024-01-15,69wxWoETSfz1f4DiCLwUTi,"UCLÃ",6A,https://p.scdn.co/mp3-preview/0c23d47313e81b0fe3240d7e04f12dbe94917713?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f89a145f534cfa632b0ce5fe
63,"Youth","Daughter",64,146,"shimmer pop","Pop","If You Leave",2013-01-01,04:13,39,53,89,1,39,0,10,-11,C Major,4,2024-01-15,0UPMxtinlgA1dkne9PAKTW,"Glassnote Entertainment Group LLC",8B,https://p.scdn.co/mp3-preview/afc12a150a6bd4f36a005f1864d1a3ef37d16431?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bb7a5690800769bfbab14e1b
64,"ALLEINE - Brutalismus 3000 RMX","Yung Hurn,Brutalismus 3000",62,150,"cloud rap, german cloud rap, german hip hop, phonk, nu gabber","Hip Hop","ALLEINE (Brutalismus 3000 RMX)",2022-10-28,03:09,69,92,2,90,75,0,0,-9,B Major,4,2024-01-15,3bfoE6deRVfiq1VBJcftti,"Yung Hurn/WM Germany",1B,https://p.scdn.co/mp3-preview/7de34db152956196ef1ef519ed0fbac76ab22323?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485121758484e1d7d23d8900ebf3
65,"Son Arzum","Skapova",68,91,"","","Son Arzum",2022-09-05,03:23,52,56,0,0,24,0,10,-8,B Minor,4,2024-01-15,625VGPqFsGw96PM609TOrs,"ETL Records",10A,https://p.scdn.co/mp3-preview/33b8f6cc6fd1edb7bb2f04101060f3fad8fe8ea6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eab3304cd727f9d56957c9d7
66,"Walk to School","Philip Glass,Paul Leonard-Morgan",50,170,"american contemporary classical, classical, compositional ambient, contemporary classical, minimalism, british soundtrack, video game music","Classical, Easy listening","Tales from the Loop (Original Soundtrack)",2020-04-03,02:10,23,4,98,96,4,0,10,-23,A Minor,3,2024-01-15,3ODtGy133cqCHLufjWu14L,"Hollywood Records",8A,,https://i.scdn.co/image/ab67616d00004851a638a1ac3620b551c26e435b
67,"Ganas","Zoe Gotusso",55,76,"argentine indie, pop argentino","Latin","Mi Primer Día Triste",2020-12-04,04:14,64,57,47,0,72,0,20,-9,C♯/D♭ Minor,4,2024-01-15,54JWFISolUGIbtNeANGp2B,"Columbia",12A,https://p.scdn.co/mp3-preview/6f9a05cca74f0bd106c805c3f5b27977359c9521?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851587158d6fdc1e7b889dbb58d
